Ort,Datum,Mindestangabe Teilnehmerzahl,Höchstangabe Teilnehmerzahl,Link zum Bericht
Hamburg,19.01.2024,180000.0,,"https://www.ndr.de/nachrichten/hamburg/Grossdemo-gegen-Rechtsextremismus-in-Hamburg-Viel-mehr-Teilnehmer,hamburgstehtauf112.html"
Iserlohn,19.01.2024,400.0,,https://www.ikz-online.de/staedte/iserlohn/demonstration-iserlohn-sagt-deutlich-nein-zu-rassismus-id241462366.html
Jena,19.01.2024,3000.0,10000.0,https://www.thueringen24.de/jena/article300289646/jena-anti-afd-demo-protest-hoecke-wahl-news.html  
Jülich,19.01.2024,700.0,1000.0,https://www.aachener-zeitung.de/lokales/region-dueren/juelich/grosser-zuspruch-fuer-die-demo-gegen-rechts-in-juelich/7418291.html
Kiel,19.01.2024,4000.0,,https://www.kn-online.de/lokales/kiel/demo-in-kiel-protest-gegen-rechtsextremismus-und-afd-plaene-am-freitag-CDOTKG7AUFCV5GTZNR3AEZDLDY.html
Lüdenscheid,19.01.2024,500.0,600.0,https://www.come-on.de/luedenscheid/ueber-600-teilnehmer-bei-demo-gegen-rechts-in-luedenscheid-92786078.html
Minden,19.01.2024,4000.0,,https://www.mt.de/lokales/minden/Demo-gegen-Rechts-im-Live-Ticker-4.000-Menschen-auf-dem-Mindener-Marktplatz-23760570.html
Münster,19.01.2024,20000.0,,https://www.muensterschezeitung.de/lokales/staedte/muenster/12000-setzen-zeichen-gegen-rechtsextremismus-2903556?&npg
Nettetal,19.01.2024,1000.0,,https://www.tagesschau.de/inland/regional/nordrheinwestfalen/wdr-tausende-demonstrieren-in-nrw-gegen-rechtsextremismus-100.html
Rosenheim,19.01.2024,500.0,,https://www.ovb-heimatzeitungen.de/rosenheim-region/2024/01/22/initiatoren-planen-weitere-demo-in-rosenheim.ovb
Stralsund,19.01.2024,1200.0,2000.0,https://www.zeit.de/news/2024-01/19/mehrere-hundert-teilnehmer-bei-demo-gegen-rechts
Winsen (Luhe),19.01.2024,100.0,,https://www.kreiszeitung-wochenblatt.de/winsen/c-panorama/zeichen-gegen-rechts-gesetzt_a306893
Wuppertal,19.01.2024,500.0,,https://www.wuppertaler-rundschau.de/stadtteile/barmen-innenstadt/hunderte-in-wuppertal-bei-demonstration-fuer-demokratie_aid-105451705
Aachen,20.01.2024,10000.0,,https://www.aachener-zeitung.de/lokales/region-aachen/aachen/rund-10.000-aachener-demonstrieren-gegen-rechts/7425612.html
Ansbach,20.01.2024,1800.0,,https://www.flz.de/article/id/ps-77baf815-c5e3-4c90-bea8-e1094782229e
Aschaffenburg,20.01.2024,800.0,,https://www.main-echo.de/region/stadt-kreis-aschaffenburg/omas-gegen-rechts-bringen-breites-buendnis-auf-die-strasse-art-8143864
Bamberg,20.01.2024,6000.0,,https://www.fraenkischertag.de/lokales/bamberg/politik/grossdemo-gegen-afd-in-bamberg-6000-menschen-protestieren-gegen-ausgrenzung-und-faschismus-art-319564
Bergisch Gladbach,20.01.2024,500.0,1500.0,https://www.ksta.de/region/rhein-berg/bergisch-gladbach/bergisch-gladbach-mehr-als-500-menschen-demonstrieren-gegen-die-afd-722772
Berlin,20.01.2024,80.0,,https://www.rbb24.de/politik/beitrag/2024/01/berlin-brandenburg-demos-rechtsextremismus-nach-geheimtreffen.html
Bernau,20.01.2024,300.0,,https://bernau-live.de/kundgebung/demonstration-gegen-rechts-auf-dem-marktplatz-in-bernau-bei-berlin
Bottrop,20.01.2024,2500.0,,https://www.waz.de/staedte/bottrop/demo-gegen-rechts-in-bottrop-77-bilder-von-der-kundgebung-id241464190.html
Braunschweig,20.01.2024,15000.0,20000.0,https://www.braunschweiger-zeitung.de/braunschweig/article241438270/Protest-in-Braunschweig-Kein-Fussbreit-dem-Faschismus.html
Buxtehude,20.01.2024,2000.0,,https://www.abendblatt.de/region/harburg-landkreis/article241464878/Demo-gegen-Rechts-Tausende-protestieren-in-Buxtehude.html
Celle,20.01.2024,4500.0,,https://www.cz.de/celle/celle/gross-demo-4500-celler-demonstrieren-gegen-afd
Dortmund,20.01.2024,30000.0,,https://www.wa.de/nordrhein-westfalen/die-innenstadt-demo-in-dortmund-heute-15-000-menschen-ziehen-durch-92786885.html
Drensteinfrut,20.01.2024,800.0,,https://www.wn.de/muensterland/kreis-warendorf/drensteinfurt/gemeinsam-gegen-hass-und-diskriminierung-2904203?pid=true&npg
Eberswalde,20.01.2024,600.0,1200.0,https://www.moz.de/lokales/eberswalde/demo-gegen-rechts-und-afd-protest-in-eberswalde-_-aperol-spritz-wird-zum-politik-symbol-72811281.html
Emden,20.01.2024,500.0,,"https://www.nwzonline.de/emden/protest-in-emden-gegen-rechts-mahnwache-holt-weitaus-mehr-teilnehmer-auf-die-strasse-als-angemeldet_a_4,0,4003696960.html"
Erfurt,20.01.2024,9000.0,10000.0,https://www.zeit.de/news/2024-01/18/protest-gegen-die-afd-ramelow-in-jena-erwartet
Eschwege,20.01.2024,1500.0,,https://www.hna.de/lokales/witzenhausen/eschwege-ort28660/demo-gegen-rechts-in-eschwege-kein-bock-auf-nazis-92788937.html
Frankfurt am Main,20.01.2024,35000.0,50000.0,https://www.fnp.de/frankfurt/demo-gegen-afd-und-rechtsruck-in-frankfurt-aufruf-verbreitete-sich-wie-lauffeuer-92784575.html
Freiburg,20.01.2024,5000.0,,https://www.swr.de/swraktuell/baden-wuerttemberg/viele-proteste-gegen-rechts-und-die-afd-in-bw-100.html
Gaggenau,20.01.2024,200.0,250.0,https://bnn.de/mittelbaden/gaggenau/gaggenauer-zeigen-gesicht-fuer-demokratie-und-gegen-fremdenhass
Gießen,20.01.2024,12000.0,,https://www.n-tv.de/regionales/hessen/Mehr-als-12-000-Menschen-in-Giessen-bei-Demo-gegen-rechts-article24677061.html
Gladbeck,20.01.2024,1000.0,,https://www.radioemscherlippe.de/artikel/tausende-gladbecker-und-bottroper-demonstrieren-gegen-rechts-1880996.html
Haiming,20.01.2024,200.0,,https://www.pnp.de/lokales/landkreis-altoetting/brandmauer-gegen-rechts-15262031
Halle,20.01.2024,16000.0,,https://dubisthalle.de/demo-gegen-rechts-zieht-durch-halle-saale1
Hannover,20.01.2024,35000.0,,https://www.haz.de/lokales/hannover/demo-gegen-rechts-in-hannover-das-waren-die-schilder-und-plakate-PPFHVRQSNVAMXHYDQ7OCIGDG6A.html
Heidelberg,20.01.2024,18000.0,,"https://www.mannheimer-morgen.de/fotos_fotostrecke,-fotostrecke-nie-wieder-ist-jetzt-bilder-der-demonstration-in-heidelberg-_mediagalid,42508.html"
Karlsruhe,20.01.2024,20000.0,25000.0,https://www.ka-news.de/region/karlsruhe/demo-gegen-rechts-demokratie-verteidigen-in-karlsruhe-art-3077282
Kassel,20.01.2024,15000.0,,https://www.tagesschau.de/inland/regional/hessen/hr-frankfurt-kassel-giessen-limburg-tausende-wollen-in-hessen-am-samstag-gegen-rechts-demonstrieren-100.html
Kaufbeuren,20.01.2024,200.0,,https://www.allgaeuer-zeitung.de/allgaeu/kaufbeuren/demo-gegen-rechts-kaufbeuren-mahnwache-neptunbrunnen-20-1-2024_arid-689231
Kevelaer,20.01.2024,3000.0,,https://rp-online.de/nrw/staedte/kevelaer/kevelaer-rund-3000-demonstranten-bei-kundgebung-gegen-rechts_aid-105432783
Koblenz,20.01.2024,5000.0,7000.0,https://www.swr.de/swraktuell/rheinland-pfalz/koblenz/koblenz-demonstration-gegen-rechtsextremismus-102.html
Kusel,20.01.2024,250.0,,https://www.swr.de/swraktuell/rheinland-pfalz/kaiserslautern/demos-gegen-rechtsextremismus-termine-in-der-westpfalz-100.html
Limburg,20.01.2024,3000.0,,https://www.mittelhessen.de/lokales/kreis-limburg-weilburg/landkreis-limburg-weilburg/demo-gegen-rechts-3000-gehen-in-limburg-auf-die-strasse-3232204
Lingen,20.01.2024,10000.0,,https://www.noz.de/lokales/lingen/galerie/lingen-ist-und-bleibt-bunt-in-bildern-zehntausend-demonstrieren-in-lingen-gegen-rassismus-und-die-46306669
Lippstadt,20.01.2024,2100.0,,https://www.hellwegradio.de/artikel/2100-menschen-bei-demo-gegen-rechts-in-lippstadt-1880587.html
Lübeck,20.01.2024,2000.0,,"https://www.ndr.de/nachrichten/schleswig-holstein/Demo-gegen-rechts-in-Luebeck-Stimmen-der-Demo-Teilnehmer,demo4110.html"
Luckenwalde,20.01.2024,600.0,,https://www.maz-online.de/lokales/teltow-flaeming/luckenwalde/luckenwalde-600-menschen-bei-demo-gegen-rechts-FTSCL3P3MJC57BC3L3VVCFDCSM.html
Lüneburg,20.01.2024,5000.0,,https://www.landeszeitung.de/lokales/lueneburg-lk/lueneburg/alle-aktuellen-entwicklungen-demos-gegen-rechts-in-lueneburg-3PBVAXPRVRH4FLTOAH6A4AT36U.html
Magdeburg,20.01.2024,1800.0,,https://www.mdr.de/nachrichten/sachsen-anhalt/tausende-protest-demo-rechts-extremismus-102.html
Nürnberg,20.01.2024,15000.0,20000.0,https://www.infranken.de/lk/nuernberg/ganz-nuernberg-hasst-die-afd-15000-teilnehmer-bei-gross-demo-eine-frau-zeigt-hitlergruss-art-5820814
Nürtingen,20.01.2024,1000.0,,https://www.ntz.de/nuertingen/artikel_ueber-1000-menschen-demonstrieren-auf-dem-nuertinger-schillerplatz.html
Offenburg,20.01.2024,5000.0,,https://www.bo.de/lokales/ortenau/mischt-euch-ein-seid-ungemutlich-demo-gegen-rechts-in-offenburg#
Oldenburg,20.01.2024,17000.0,,"https://www.nwzonline.de/oldenburg/demo-in-oldenburg-gegen-afd-und-rechtsextremismus-17000-am-samstag-vor-dem-schloss-und-in-der-innenstadt_a_4,0,3997560964.html"
Osterholz,20.01.2024,,,
Pforzheim,20.01.2024,3000.0,,https://bnn.de/pforzheim/pforzheim-stadt/nazis-raus-3000-demonstranten-gegen-rechts-in-pforzheim
Pirmasens,20.01.2024,100.0,500.0,https://www.wochenblatt-reporter.de/wochenblatt-pirmasens/c-lokales/klares-zeichen-gegen-hass-und-rechtsextremismus_a525840
Recklinghausen,20.01.2024,12000.0,,https://www.radiovest.de/artikel/12000-teilnehmer-bei-demo-gegen-rechts-in-recklinghausen-1880408.html
Rotenburg (Wümme),20.01.2024,1000.0,,https://www.kreiszeitung.de/lokales/rotenburg/rotenburg-ort120515/rotenburg-setzt-ein-klares-zeichen-gegen-rechtsextremismus-92787590.html
Rott am Inn,20.01.2024,350.0,,"https://www.br.de/nachrichten/bayern/streit-um-fluechtlingsunterkunft-drei-demos-in-rott-am-inn,U1w4WQh"
Spremberg,20.01.2024,300.0,,https://www.zeit.de/news/2024-01/20/rund-300-menschen-demonstrieren-in-spremberg-gegen-rechts
Stuttgart,20.01.2024,20000.0,50000.0,https://www.zvw.de/stuttgart-region/demo-gegen-afd-in-stuttgart-tausende-menschen-protestieren-auf-dem-schlossplatz_arid-763312
Syke,20.01.2024,500.0,1000.0,https://www.weser-kurier.de/landkreis-diepholz/stadt-syke/solidaritaet-in-syke-grosser-protest-gegen-rechtsextreme-ideologien-doc7tsp3maq0w41dd3swcgs
Überlingen,20.01.2024,1500.0,,https://www.swr.de/swraktuell/baden-wuerttemberg/friedrichshafen/demo-gegen-rechts-in-ueberlingen-100.html
Uelzen,20.01.2024,1100.0,,https://www.az-online.de/uelzen/stadt-uelzen/fotostrecke-zusammenstehen-fuer-demokratie-und-toleranz-die-grosse-demo-aus-uelzens-herzogenplatz-92787062.html
Ulm,20.01.2024,10000.0,,https://www.swr.de/swraktuell/baden-wuerttemberg/ulm/kundgebung-gegen-rechts-ulm-100.html
Weinheim,20.01.2024,1000.0,,https://www.wnoz.de/nachrichten/bergstrasse/rund-1000-teilnehmer-bei-anti-nazi-demo-in-weinheim-349768.html
Werl,20.01.2024,500.0,,https://www.soester-anzeiger.de/lokales/werl/bunt-statt-braun-rund-500-werler-nehmen-an-demonstration-vor-der-basilika-teil-92787409.html
Westerland/Sylt,20.01.2024,600.0,1000.0,https://www.t-online.de/region/hamburg/id_100325790/sylt-rund-1000-insulaner-bei-demo-gegen-rechts-dabei.html
Wildeshausen,20.01.2024,600.0,,https://www.kreiszeitung.de/lokales/oldenburg/wildeshausen-ort49926/600-menschen-bei-kundgebung-gegen-die-afd-in-wildeshausen-92786801.html
Wilhelmshaven,20.01.2024,2500.0,,"https://www.nwzonline.de/wilhelmshaven/demonstration-gegen-rechts-die-kundgebung-in-wilhelmshaven-in-bildern_a_4,0,3998672978.html"
Wuppertal,20.01.2024,10000.0,,https://www.wz.de/nrw/wuppertal/10-000-bei-wuppertaler-demo-gegen-ausgrenzung-hass-und-hetze_aid-105507263
Würzburg,20.01.2024,3000.0,,https://www.merkur.de/bayern/nach-aufruf-der-omas-gegen-rechts-grosser-zulauf-bei-demonstration-in-bayern-92786760.html
Amt Neuhaus,21.01.2024,320.0,,https://www.svz.de/lokales/neuhaus/artikel/proteste-gegen-rechts-und-die-afd-in-der-gemeinde-amt-neuhaus-46311361
Bad Tölz,21.01.2024,1500.0,2000.0,https://www.merkur.de/lokales/bad-toelz/bad-toelz-ort28297/demonstration-gegen-rechts-in-bad-toelz-rund-1000-teilnehmer-92787811.html
Baden-Baden,21.01.2024,2000.0,,https://www.landtag-bw.de/home/aktuelles/dpa-nachrichten/2024/Januar/KW3/Sonntag/db6dc12c-4f47-4121-ae31-ccb20cbd.html
Beeskow,21.01.2024,200.0,,https://www.rbb24.de/politik/beitrag/2024/01/berlin-brandenburg-cottbus-demos-gegen-rechts-sonntag.html
Berlin,21.01.2024,100000.0,350000.0,https://taz.de/Anti-AfD-Demo-in-Berlin/!5986847/
Bonn,21.01.2024,30000.0,,https://www1.wdr.de/nachrichten/demos-rechtsextremismus-sonntag-nrw-100.html
Bremen,21.01.2024,50000.0,70000.0,https://www.butenunbinnen.de/nachrichten/demonstration-gegen-rechts-bremen-100.html
Chemnitz,21.01.2024,12000.0,,https://www.freiepresse.de/chemnitz/12-000-menschen-demonstrieren-in-chemnitz-gegen-die-afd-und-fuer-vielfalt-artikel13215531
Coburg,21.01.2024,4000.0,,"https://www.br.de/nachrichten/bayern/gemeinsam-gegen-rechts-2-000-teilnehmer-bei-demo-in-coburg,U202ccA"
Cottbus,21.01.2024,3500.0,5000.0,https://www.tagesschau.de/inland/demos-gegen-rechts-bilanz-100.html
Detmold,21.01.2024,2200.0,,https://www1.wdr.de/nachrichten/demos-rechtsextremismus-sonntag-nrw-100.html
Döbeln,21.01.2024,350.0,,https://www.mdr.de/nachrichten/sachsen/ticker-demo-afd-rechtsextremimus-leipzig-dresden-100.html
Dresden,21.01.2024,30000.0,40000.0,https://www.mdr.de/nachrichten/sachsen/ticker-demo-afd-rechtsextremimus-leipzig-dresden-100.html
Euskirchen,21.01.2024,2000.0,,https://www.rundschau-online.de/region/euskirchen-eifel/euskirchen/2000-demonstranten-bekennen-sich-in-euskirchen-zur-demokratie-723335
Flensburg,21.01.2024,10000.0,,"https://www.ndr.de/nachrichten/schleswig-holstein/Flensburg-10000-Menschen-demonstrieren-gegen-Rechtsextremismus,demogegenrechts126.html"
Freiburg,21.01.2024,25000.0,,https://www.swr.de/swraktuell/baden-wuerttemberg/viele-proteste-gegen-rechts-und-die-afd-in-bw-100.html#Freib
Fürstenwalde,21.01.2024,500.0,,https://www.rbb24.de/politik/beitrag/2024/01/berlin-brandenburg-cottbus-demos-gegen-rechts-sonntag.html
Görlitz,21.01.2024,2000.0,,https://www.mdr.de/nachrichten/sachsen/ticker-demo-afd-rechtsextremimus-leipzig-dresden-100.html
Göttingen,21.01.2024,12000.0,15000.0,https://www.hna.de/lokales/goettingen/goettingen-ort28741/mehr-als-15000-teilnehmer-demonstrieren-in-goettingen-gegen-die-afd-92787646.html
Henstedt-Ulzburg,21.01.2024,1500.0,,"https://www.ndr.de/nachrichten/schleswig-holstein/Demos-gegen-rechts-Ploetzlich-nicht-mehr-allein,henstedtulzburg230.html"
Herrenberg,21.01.2024,6000.0,,https://www.krzbb.de/inhalt.protest-in-herrenberg-6000-ziehen-gegen-rechts-durch-die-stadt.854eddaa-575a-45ee-bc16-2e882a4e789d.html
Kasel,21.01.2024,500.0,,https://www.swr.de/swraktuell/rheinland-pfalz/demo-kasel-gegen-rechts-fuer-demokratie-100.html
Kleve,21.01.2024,5000.0,10000.0,https://rp-online.de/nrw/staedte/kleve/kleve-tausende-teilnehmer-bei-demo-gegen-rechts-am-sonntag_aid-105471517
Köln,21.01.2024,70000.0,,https://www.ksta.de/koeln/koeln-stellt-sich-quer-so-laeuft-die-grossdemo-auf-der-deutzer-werft-723039
Leipzig,21.01.2024,30000.0,60000.0,https://www.mdr.de/nachrichten/sachsen/ticker-demo-afd-rechtsextremimus-leipzig-dresden-100.html
Mülheim an der Ruhr,21.01.2024,7000.0,,https://www.waz.de/staedte/muelheim/demo-fuer-vielfalt-mehrere-tausend-auf-muelheims-rathausmarkt-id241472442.html
München,21.01.2024,100000.0,320000.0,https://www.tagesschau.de/inland/gesellschaft/demonstrationen-gegen-rechts-104.html
Neubrandenburg,21.01.2024,800.0,,"https://www.ndr.de/nachrichten/mecklenburg-vorpommern/Proteste-gegen-Rechtsextremismus-Auch-in-MV-gibt-es-Aktionen-,proteste288.html"
Neustrelitz,21.01.2024,220.0,,"https://www.ndr.de/nachrichten/mecklenburg-vorpommern/Proteste-gegen-Rechtsextremismus-Auch-in-MV-gibt-es-Aktionen-,proteste288.html"
Offenbach a.M.,21.01.2024,3000.0,,https://www.op-online.de/offenbach/geplant-demo-gegen-rechts-in-offenbach-am-sonntag-92786820.html
Perleberg,21.01.2024,600.0,,https://www.maz-online.de/lokales/prignitz/perleberg/perleberg-kundgebung-gegen-die-afd-und-fuer-demokratie-mit-600-teilnehmern-CQ7IUCLFHVDF3OGJDUJI45HFQA.html
Pinneberg,21.01.2024,3500.0,,"https://www.ndr.de/nachrichten/schleswig-holstein/Flensburg-10000-Menschen-demonstrieren-gegen-Rechtsextremismus,demogegenrechts126.html"
Pirna,21.01.2024,1000.0,1000.0,https://www.saechsische.de/pirna/nach-demo-in-pirna-staatsschutz-ermittelt-gegen-uniformtraeger-polizei-demonstration-afd-5958271-plus.html
Radeberg,21.01.2024,700.0,,https://www.saechsische.de/radeberg/lokales/700-menschen-demonstrieren-in-radeberg-fuer-vielfalt-und-demokratie-5956299.html
Regensburg,21.01.2024,3000.0,13000.0,"https://www.br.de/nachrichten/bayern/grosser-andrang-bei-kundgebung-gegen-neonazis-in-regensburg,U1zm91B"
Rhede,21.01.2024,700.0,,https://www.bbv-net.de/Lokales/Rhede/700-Menschen-demonstrieren-in-Rhede-gegen-Rechts-434147.html
Saarbrücken,21.01.2024,13000.0,,https://www.sr.de/sr/home/nachrichten/panorama/demonstration_gegen_rechtsextremismus_fuer_demokratie_saarbruecken_saarland_100.html
Strausberg,21.01.2024,2500.0,,https://www.moz.de/lokales/strausberg/demo-in-strausberg-2500-menschen-aus-der-region-setzen-zeichen-gegen-rechts-72834819.html
Stuttgart,21.01.2024,8000.0,,https://www.swr.de/swraktuell/baden-wuerttemberg/viele-proteste-gegen-rechts-und-die-afd-in-bw-100.html#stuttg
Templin,21.01.2024,500.0,,https://www.rbb24.de/politik/beitrag/2024/01/berlin-brandenburg-cottbus-demos-gegen-rechts-sonntag.html
Torgau,21.01.2024,250.0,300.0,https://www.lvz.de/lokales/nordsachsen/torgau/demo-in-torgau-hunderte-gehen-gegen-rechts-auf-die-strasse-HCM3VVP2PZA63MUZYPDF23CQ54.html
Unna,21.01.2024,500.0,,https://www.hellwegeranzeiger.de/unna/demo-gegen-afd-unna-volt-marktplatz-w833658-p-1000989446/
Vechta,21.01.2024,2500.0,,https://www.om-online.de/om/2500-menschen-protestieren-in-vechta-gegen-rechts-185061
Bayreuth,22.01.2024,3000.0,,https://www.kurier.de/inhalt.welle-erreicht-bayreuth-auf-marktplatz-laeuft-demonstration-gegen-rechts.d82c1dd1-5678-4b70-a28c-e9da76d41a79.html
Burg,22.01.2024,250.0,,https://www.volksstimme.de/lokal/burg/politische-konfrontation-burg-afd-demo-gegendemonstranten-buendnis-gegen-rechts-rolandplatz-3772381
Fallingbostel,22.01.2024,1300.0,,https://www.presseportal.de/blaulicht/pm/59460/5697398
Freiberg,22.01.2024,1000.0,,https://www.mdr.de/nachrichten/sachsen/chemnitz/freiberg/demonstration-demokratie-rechtsextremismus-zusammen-100.html
Görlitz,22.01.2024,2000.0,,https://www.saechsische.de/goerlitz/demo-goerlitz-5956261-plus.html
Greifswald,22.01.2024,1500.0,,https://www.ostsee-zeitung.de/lokales/vorpommern-greifswald/greifswald/gegen-rechts-und-montagsdemo-liveticker-zu-protesten-in-greifswald-4RCXKOWZH5FU3O2RMGHH35V5RQ.html
Hamm,22.01.2024,5500.0,,https://www.lippewelle.de/artikel/demo-gegen-rechts-mit-tausenden-in-der-innenstadt-von-hamm-1881981.html
Hattingen,22.01.2024,200.0,,https://www.radioenneperuhr.de/artikel/demo-in-hattingen-nicht-groesser-als-geplant-1882815.html
Kempten,22.01.2024,500.0,,https://www.allgaeuer-zeitung.de/allgaeu/kempten/demo-gegen-rechts-am-montag-22-1-2024-in-kempten-zeichen-gegen-rechtsextremismus_arid-689957
Meißen,22.01.2024,600.0,,https://www.saechsische.de/meissen/menschen-demonstrieren-in-meissen-gegen-rechts-protest-gegen-afd-geheimtreffen-buntes-meissen-5956629-plus.html
