Ort,Datum,Breitengrad,Längengrad,Bericht_Link,Mindestangabe Teilnehmerzahl,Höchstangabe Teilnehmerzahl
Bielefeld,19.01.2024,52.0191005,8.531007,https://www.die-glocke.de/regionales/artikel/grossdemonstrationen-gegen-afd-in-muenster-und-bielefeld-1705648327,2500.0,6000.0
Bochum,19.01.2024,51.4818111,7.2196635,https://www.waz.de/staedte/bochum/demo-gegen-rechts-in-bochum-zeitplan-route-alle-infos-id241456536.html,13000.0,
Dahlenburg,19.01.2024,53.186348,10.7383218,,300.0,
Detmold,19.01.2024,51.936284,8.8791526,https://www.tagesschau.de/inland/regional/nordrheinwestfalen/wdr-tausende-demonstrieren-in-nrw-gegen-rechtsextremismus-100.html,300.0,400.0
Erlangen,19.01.2024,49.5928616,11.0056,"https://www.br.de/nachrichten/bayern/erlangen-4-000-demonstrieren-fuer-afd-verbot,U1nP9eV",4000.0,
Gummersbach,19.01.2024,51.0277658,7.5630545,https://www.oberberg-aktuell.de/lokalmix/die-botschaft-----wir-sind-mehr-----a-99603,400.0,
Hamburg,19.01.2024,53.56242358,10.05945001,"https://www.ndr.de/nachrichten/hamburg/Grossdemo-gegen-Rechtsextremismus-in-Hamburg-Viel-mehr-Teilnehmer,hamburgstehtauf112.html",180000.0,
Iserlohn,19.01.2024,51.3746778,7.6999713,https://www.ikz-online.de/staedte/iserlohn/demonstration-iserlohn-sagt-deutlich-nein-zu-rassismus-id241462366.html,400.0,
Jena,19.01.2024,50.9281717,11.5879359,https://www.thueringen24.de/jena/article300289646/jena-anti-afd-demo-protest-hoecke-wahl-news.html  ,3000.0,10000.0
Jülich,19.01.2024,50.9220931,6.3611015,https://www.aachener-zeitung.de/lokales/region-dueren/juelich/grosser-zuspruch-fuer-die-demo-gegen-rechts-in-juelich/7418291.html,700.0,1000.0
Kiel,19.01.2024,54.3227085,10.135555,https://www.kn-online.de/lokales/kiel/demo-in-kiel-protest-gegen-rechtsextremismus-und-afd-plaene-am-freitag-CDOTKG7AUFCV5GTZNR3AEZDLDY.html,4000.0,
Lüdenscheid,19.01.2024,51.218137,7.6396975,https://www.come-on.de/luedenscheid/ueber-600-teilnehmer-bei-demo-gegen-rechts-in-luedenscheid-92786078.html,500.0,600.0
Minden,19.01.2024,52.2881045,8.9168852,https://www.mt.de/lokales/minden/Demo-gegen-Rechts-im-Live-Ticker-4.000-Menschen-auf-dem-Mindener-Marktplatz-23760570.html,4000.0,
Münster,19.01.2024,51.9625101,7.6251879,https://www.muensterschezeitung.de/lokales/staedte/muenster/12000-setzen-zeichen-gegen-rechtsextremismus-2903556?&npg,20000.0,
Nettetal,19.01.2024,51.3155092,6.2714171,https://www.tagesschau.de/inland/regional/nordrheinwestfalen/wdr-tausende-demonstrieren-in-nrw-gegen-rechtsextremismus-100.html,1000.0,
Rosenheim,19.01.2024,47.8539273,12.127262,https://www.ovb-heimatzeitungen.de/rosenheim-region/2024/01/22/initiatoren-planen-weitere-demo-in-rosenheim.ovb,500.0,
Stralsund,19.01.2024,54.3096314,13.0820846,https://www.zeit.de/news/2024-01/19/mehrere-hundert-teilnehmer-bei-demo-gegen-rechts,1200.0,2000.0
Winsen (Luhe),19.01.2024,53.3636474,10.2059206,https://www.kreiszeitung-wochenblatt.de/winsen/c-panorama/zeichen-gegen-rechts-gesetzt_a306893,100.0,
Wuppertal,19.01.2024,51.2562,7.1508,https://www.wuppertaler-rundschau.de/stadtteile/barmen-innenstadt/hunderte-in-wuppertal-bei-demonstration-fuer-demokratie_aid-105451705,500.0,
Aachen,20.01.2024,50.776351,6.083862,https://www.aachener-zeitung.de/lokales/region-aachen/aachen/rund-10.000-aachener-demonstrieren-gegen-rechts/7425612.html,10000.0,
Ansbach,20.01.2024,49.3028611,10.5722288,https://www.flz.de/article/id/ps-77baf815-c5e3-4c90-bea8-e1094782229e,1800.0,
Aschaffenburg,20.01.2024,49.9740542,9.1493636,https://www.main-echo.de/region/stadt-kreis-aschaffenburg/omas-gegen-rechts-bringen-breites-buendnis-auf-die-strasse-art-8143864,800.0,
Bamberg,20.01.2024,49.89870453,10.90882015,https://www.fraenkischertag.de/lokales/bamberg/politik/grossdemo-gegen-afd-in-bamberg-6000-menschen-protestieren-gegen-ausgrenzung-und-faschismus-art-319564,6000.0,
Bergisch Gladbach,20.01.2024,50.9929303,7.1277379,https://www.ksta.de/region/rhein-berg/bergisch-gladbach/bergisch-gladbach-mehr-als-500-menschen-demonstrieren-gegen-die-afd-722772,500.0,1500.0
