country,ISO_code,signed,signature_year,ratified,ratification_year,reservations,denunciation,v2x_libdem_2013,v2x_egaldem_2013,v2x_libdem_2020,v2x_egaldem_2020,v2x_libdem_2021,v2x_egaldem_2021,v2x_genpp_2020,v2x_gender_2020,v2x_cspart_2020,IC,RELP,WEQU,OPPG,RGOV,WOMPOW,EUC,,v2x_libdem_2013,v2x_egaldem_2013,v2csgender_2013,v2x_gender_2013,v2x_cspart_2013,v2x_gencs_2013,v2x_libdem_2017,v2x_egaldem_2017,v2csgender_2017,v2x_gender_2017,v2x_cspart_2017,v2x_gencs_2017,v2x_libdem_2020,v2x_egaldem_2020,v2csgender_2020,v2x_gender_2020,v2x_cspart_2020,v2x_gencs_2020,v2x_genpp_2020,A004,A006,A040,A124_09,C001,D081_N,D081_Y,D059,D060,D061,D078,E023,E025,E026,E027,E028,E033_L,E033_R,E233_N,E233_Y,F025_MAJ,CATH_ORTH_MUSL,F025_PERMAJ,F025_N,F118_N,F118_Y,F120_N,F120_Y,solid_right13,solid_right17,solid_right20,13_name,17_name,20_name,xxWOMACC,IC,DEMBACK,RIGHTGOV,OPPGEN,RELPOW,WOMPOW,WOMEQU,DEMBADr,OPPGENr,EGALDEM,WOMEQUr1,WOMEQUr2,EDEMBACK,genpp_2020
North Macedonia,mk,TRUE,2011,TRUE,2018,TRUE,FALSE,0.29,0.33,0.43,0.44,0.4,0.39,0.988,0.85,0.67,1,1,0.33,0.66,0.75,0.763,1,,0.29,0.33,2.33,0.87,0.64,0.89,0.38,0.41,1.73,0.86,0.69,0.83,0.43,0.44,1.28,0.85,0.67,0.81,0.988,0.36,0.81,0.31,0.62,0.25,0.67,0.12,0.39,0.15,0.34,0.36,0.38,0.59,0.53,0.54,0.32,0.24,0.21,0.08,0.78,Orthodox (Russian/Greek/etc.),1,0.63,0.09,0.76,0.09,0.48,0.23,1,0,0,Gruevski,Zaev,Zaev,0.77,1,0.14,0.75,0.66,1,0.76,0.33,0.43,0.48,0.44,0.34,0.78,0.11,0.988
Norway,no,TRUE,2011,TRUE,2017,FALSE,FALSE,0.87,0.86,0.86,0.86,0.86,0.86,1,0.9,0.98,1,0,1,0,0.25,0.9385,0,,0.87,0.86,2.65,0.96,0.99,0.91,0.86,0.85,2.65,0.96,0.99,0.91,0.86,0.86,2.65,0.9,0.98,0.91,1,0.71,0.35,0.07,0.03,0.04,0.15,0.72,0.07,0.03,0.24,0.1,0.73,0.92,0.63,0.8,0.22,0.21,0.17,0.01,0.94,Protestant,0,0.53,0.36,0.08,0.79,0.11,0.64,1,1,1,Solberg I,Solberg II,Solberg V,0.97,1,-0.01,0.25,0,0,0.94,1,0.86,0.11,0.86,0.24,0.94,0,1
Poland,pl,TRUE,2012,TRUE,2015,TRUE,FALSE,0.82,0.8,0.49,0.54,0.41,0.49,0.99,0.84,0.68,0.75,1,0.33,0.66,0,0.764,0,,0.82,0.8,2.41,0.94,0.88,0.91,0.55,0.6,1.57,0.87,0.7,0.79,0.49,0.54,1.13,0.84,0.68,0.72,0.99,0.47,0.8,0.33,0.3,0.23,0.68,0.14,0.29,0.1,0.52,0.21,0.46,0.71,0.31,0.51,0.23,0.09,0.32,0.04,0.86,Roman Catholic,1,0.89,0.09,0.56,0.22,0.54,0.15,0,1,1,Tusk II,Morawiecki I,Morawiecki II,0.78,0.75,-0.34,0,0.66,1,0.76,0.33,0.49,0.54,0.54,0.52,0.86,-0.26,0.99
Portugal,pt,TRUE,2011,TRUE,2013,FALSE,FALSE,0.83,0.78,0.79,0.76,0.81,0.76,0.999,0.95,0.79,1,1,0.33,0.33,1,0.865,0,,0.83,0.78,1.98,0.92,0.85,0.89,0.84,0.8,1.98,0.93,0.87,0.91,0.79,0.76,2.42,0.95,0.79,0.94,0.999,0.36,0.67,0.11,0.13,0.2,0.29,0.49,0.19,0.07,0.5,0.11,0.3,0.51,0.26,0.42,0.15,0.2,0.12,0.04,0.8,Roman Catholic,1,0.74,0.2,0.41,0.19,0.43,0.16,1,1,0,Passos Coelho I,Passos Coelho II,Costa II,0.9,1,-0.03,1,0.33,1,0.87,0.33,0.79,0.43,0.76,0.5,0.8,-0.02,0.999
Moldova,md,TRUE,2017,FALSE,,FALSE,FALSE,0.56,0.49,0.47,0.43,0.62,0.56,0.953,0.87,0.69,0.25,1,,,0,0.7815,1,,0.56,0.49,2.22,0.87,0.75,0.89,0.4,0.36,2.22,0.86,0.67,0.89,0.47,0.43,2.22,0.87,0.69,0.9,0.953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,Filat II,Filip,Chicu,0.76,0.25,-0.09,0,,1,0.78,,0.47,,0.43,,,-0.06,0.953
Romania,ro,TRUE,2014,TRUE,2016,TRUE,FALSE,0.55,0.52,0.55,0.54,0.64,0.58,0.929,0.86,0.71,1,1,0.33,0.66,0,0.783,0,,0.55,0.52,1.82,0.85,0.81,0.88,0.51,0.49,1.82,0.86,0.68,0.85,0.55,0.54,1.92,0.86,0.71,0.86,0.929,0.24,0.81,0.48,0.55,0.41,0.73,0.13,0.4,0.19,0.38,0.35,0.31,0.47,0.18,0.44,0.21,0.2,0.27,0.05,0.75,Orthodox (Russian/Greek/etc.),1,0.86,0.03,0.78,0.05,0.6,0.11,0,0,1,Ponta II,Tudose,Citu,0.77,1,0,0,0.66,1,0.78,0.33,0.55,0.6,0.54,0.38,0.75,0.02,0.929
Russia,ru,FALSE,,FALSE,,FALSE,FALSE,0.12,0.22,0.1,0.21,0.1,0.2,0.755,0.72,0.42,0,1,0.33,1,1,0.568,0,,0.12,0.22,1.14,0.73,0.42,0.75,0.11,0.21,1.14,0.73,0.38,0.72,0.1,0.21,0.89,0.72,0.42,0.67,0.755,0.4,0.52,0.12,0.66,0.39,0.75,0.12,0.61,0.27,0.41,0.54,0.43,0.43,0.2,0.41,0.18,0.1,0.22,0.04,0.68,Orthodox (Russian/Greek/etc.),1,0.51,0.39,0.75,0.07,0.39,0.21,1,1,1,Putin,Putin,Putin,0.55,0,-0.02,1,1,1,0.57,0.33,0.1,0.39,0.21,0.41,0.68,-0.01,0.755
San Marino,sm,TRUE,2013,TRUE,2016,FALSE,FALSE,,,,,,,,,,1,0,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,"State of Congres, no prime minister",,,0,1,0,,,0,0,,,,,,,0,
Serbia,rs,TRUE,2012,TRUE,2013,TRUE,FALSE,0.38,0.37,0.24,0.3,0.24,0.29,0.994,0.87,0.58,1,1,0.33,0.66,0,0.7265,1,,0.38,0.37,1.27,0.86,0.58,0.79,0.27,0.29,1.11,0.84,0.56,0.75,0.24,0.3,1.96,0.87,0.58,0.84,0.994,0.26,0.67,0.26,0.53,0.2,0.75,0.07,0.3,0.12,0.44,0.25,0.3,0.72,0.56,0.57,0.5,0.23,0.16,0.05,0.73,Orthodox (Russian/Greek/etc.),1,0.7,0.26,0.69,0.11,0.45,0.16,0,0,0,Da_i_,Brnabi_ I,Brnabi_ II,0.7,1,-0.14,0,0.66,1,0.73,0.33,0.24,0.45,0.3,0.44,0.73,-0.08,0.994
Slovakia,sk,TRUE,2011,FALSE,,FALSE,FALSE,0.73,0.68,0.76,0.66,0.77,0.68,0.964,0.91,0.8,0.25,1,0.33,0.66,0.45,0.8535,0,,0.73,0.68,1.8,0.9,0.84,0.86,0.72,0.67,1.42,0.89,0.82,0.81,0.76,0.66,1.58,0.91,0.8,0.84,0.964,0.28,0.58,0.23,0.4,0.37,0.64,0.16,0.5,0.31,0.37,0.47,0.37,0.7,0.35,0.38,0.18,0.16,0.18,0.08,0.6,Roman Catholic,1,0.64,0.25,0.33,0.22,0.31,0.25,0,0,1,Fico II,Fico IV,Matovic,0.85,0.25,0.02,0.45,0.66,1,0.85,0.33,0.76,0.31,0.66,0.37,0.6,-0.02,0.964
Slovenia,si,TRUE,2011,TRUE,2015,TRUE,FALSE,0.79,0.77,0.65,0.61,0.6,0.56,0.96,0.92,0.77,1,1,0.66,0.33,0.45,0.845,0,,0.79,0.77,2.47,0.95,0.92,0.92,0.78,0.75,2.47,0.95,0.87,0.93,0.65,0.61,2.47,0.92,0.77,0.92,0.96,0.18,0.36,0.09,0.3,0.11,0.39,0.42,0.2,0.06,0.29,0.17,0.41,0.7,0.55,0.57,0.38,0.24,0.11,0.03,0.85,Roman Catholic,1,0.57,0.37,0.32,0.4,0.18,0.49,0,0,0,Bratusec,Cerar,Jansa III,0.91,1,-0.14,0.45,0.33,1,0.85,0.66,0.65,0.18,0.61,0.29,0.85,-0.17,0.96
Spain,es,TRUE,2011,TRUE,2014,FALSE,FALSE,0.8,0.79,0.8,0.81,0.78,0.75,0.999,0.94,0.91,1,0,0.66,0,0.75,0.9255,0,,0.8,0.79,2.38,0.95,0.86,0.91,0.78,0.76,2.38,0.94,0.88,0.89,0.8,0.81,2.38,0.94,0.91,0.89,0.999,0.39,0.4,0.16,0.13,0.11,0.2,0.64,0.09,0.04,0.26,0.07,0.45,0.67,0.31,0.67,0.38,0.29,0.15,0.07,0.8,Roman Catholic,1,0.4,0.36,0.17,0.53,0.28,0.4,1,1,0,Rajoy I,Rajoy III,Sanchez III,0.91,1,0,0.75,0,0,0.93,0.66,0.8,0.28,0.81,0.26,0.8,0.02,0.999
Sweden,se,TRUE,2011,TRUE,2014,TRUE,FALSE,0.89,0.85,0.87,0.82,0.88,0.83,1,0.94,0.94,1,0,1,0,1,0.9425,0,,0.89,0.85,2.2,0.95,0.95,0.89,0.88,0.83,2.2,0.94,0.95,0.89,0.87,0.82,2.21,0.94,0.94,0.89,1,0.77,0.31,0.04,0.03,0.02,0.1,0.76,0.05,0.01,0.14,0.04,0.64,0.95,0.79,0.79,0.3,0.21,0.17,0.01,0.94,Protestant,0,0.56,0.36,0.08,0.81,0.07,0.76,0,0,0,Lofven I,Lofven I,Lofven III,0.94,1,-0.01,1,0,0,0.94,1,0.87,0.07,0.82,0.14,0.94,-0.03,1
Switzerland,che,TRUE,2013,TRUE,2017,TRUE,FALSE,0.86,0.84,0.85,0.83,0.84,0.82,1,0.94,0.97,1,0,1,0,0,0.9545,0,,0.86,0.84,2.05,0.94,0.97,0.87,0.86,0.83,2.05,0.94,0.97,0.87,0.85,0.83,2.05,0.94,0.97,0.88,1,0.53,0.32,0.09,0.06,0.09,0.25,0.51,0.11,0.07,0.35,0.11,0.57,0.94,0.65,0.72,0.29,0.2,0.15,0.02,0.89,Roman Catholic,1,0.34,0.3,0.11,0.65,0.18,0.41,0,0,0,Bundesrat 2011,Bundesrat 2015,Bundesrat 2019,0.95,1,-0.01,0,0,0,0.95,1,0.85,0.18,0.83,0.35,0.89,-0.01,1
Turkey,tr,TRUE,2011,TRUE,2012,FALSE,TRUE,0.35,0.33,0.11,0.18,0.12,0.19,0.828,0.5,0.2,0,1,0,1,1,0.3485,1,,0.35,0.33,-0.45,0.56,0.43,0.39,0.11,0.2,-0.61,0.48,0.19,0.28,0.11,0.18,-0.56,0.5,0.2,0.33,0.828,0.57,0.89,0.44,0.79,0.52,0.58,0.18,0.54,0.33,0.53,0.48,0.53,0.51,0.4,0.52,0.41,0.14,0.36,0.05,0.59,Muslim,1,0.99,0.01,0.8,0.03,0.7,0.04,1,1,1,Erdogan III,Yildirim,Erdogan IV,0.33,0,-0.24,1,1,1,0.35,0,0.11,0.7,0.18,0.53,0.59,-0.15,0.828
Ukraine,ua,TRUE,2011,TRUE,2022,FALSE,FALSE,0.29,0.35,0.35,0.39,0.32,0.37,0.974,0.9,0.81,1,1,0.33,0.66,0.45,0.853,1,,0.29,0.35,2.64,0.89,0.61,0.95,0.25,0.29,1.77,0.86,0.74,0.87,0.35,0.39,2.24,0.9,0.81,0.91,0.974,0.32,0.6,0.18,0.52,0.26,0.71,0.12,0.46,0.19,0.41,0.4,0.38,0.54,0.27,0.44,0.21,0.13,0.22,0.03,0.77,Orthodox (Russian/Greek/etc.),1,0.61,0.24,0.69,0.05,0.39,0.14,0,0,0,Tymoshenko,Azarov,Shmyhal,0.8,0.25,0.06,0.45,0.66,1,0.85,0.33,0.35,0.39,0.39,0.41,0.77,0.04,0.974
United Kingdom,gb,TRUE,2012,TRUE,2022,FALSE,FALSE,0.8,0.75,0.8,0.75,0.78,0.73,0.995,0.92,0.96,1,0,1,0,0.75,0.94,0,,0.8,0.75,2.68,0.92,0.96,0.92,0.8,0.76,2.68,0.94,0.96,0.93,0.8,0.75,2.3,0.92,0.96,0.91,0.995,0.57,0.38,0.1,0.06,0.07,0.16,0.63,0.11,0.04,0.24,0.09,0.56,0.93,0.61,0.59,0.37,0.18,0.14,0.03,0.87,Do not belong to a denomination,0,0.59,0.59,0.14,0.58,0.19,0.4,0,1,1,Cameron I,May II,Johnson II,0.95,0.25,0,0.75,0,0,0.94,1,0.8,0.19,0.75,0.24,0.87,0,0.995
