country,ISO_code,signed,signature_year,ratified,ratification_year,reservations,denunciation,v2x_libdem_2013,v2x_egaldem_2013,v2x_libdem_2020,v2x_egaldem_2020,v2x_libdem_2021,v2x_egaldem_2021,v2x_genpp_2020,v2x_gender_2020,v2x_cspart_2020,IC,RELP,WEQU,OPPG,RGOV,WOMPOW,EUC,,v2x_libdem_2013,v2x_egaldem_2013,v2csgender_2013,v2x_gender_2013,v2x_cspart_2013,v2x_gencs_2013,v2x_libdem_2017,v2x_egaldem_2017,v2csgender_2017,v2x_gender_2017,v2x_cspart_2017,v2x_gencs_2017,v2x_libdem_2020,v2x_egaldem_2020,v2csgender_2020,v2x_gender_2020,v2x_cspart_2020,v2x_gencs_2020,v2x_genpp_2020,A004,A006,A040,A124_09,C001,D081_N,D081_Y,D059,D060,D061,D078,E023,E025,E026,E027,E028,E033_L,E033_R,E233_N,E233_Y,F025_MAJ,CATH_ORTH_MUSL,F025_PERMAJ,F025_N,F118_N,F118_Y,F120_N,F120_Y,solid_right13,solid_right17,solid_right20,13_name,17_name,20_name,xxWOMACC,IC,DEMBACK,RIGHTGOV,OPPGEN,RELPOW,WOMPOW,WOMEQU,DEMBADr,OPPGENr,EGALDEM,WOMEQUr1,WOMEQUr2,EDEMBACK,genpp_2020
Czechia,cz,TRUE,2016,FALSE,,TRUE,FALSE,0.78,0.78,0.71,0.72,0.71,0.71,0.956,0.9,0.78,0.25,0,0.33,0.33,0.75,0.8385,0,,0.78,0.78,2.64,0.92,0.81,0.92,0.74,0.76,2.64,0.93,0.84,0.92,0.71,0.72,1.54,0.9,0.78,0.83,0.956,0.26,0.22,0.11,0.23,0.21,0.32,0.46,0.39,0.15,0.32,0.31,0.49,0.71,0.33,0.54,0.31,0.19,0.21,0.07,0.74,Do not belong to a denomination,0,0.75,0.75,0.26,0.49,0.22,0.4,1,0,0,Necas II,Sobotka I,Babis II,0.89,0.25,-0.07,0.75,0.33,0,0.84,0.33,0.71,0.22,0.72,0.32,0.74,-0.06,0.956
Denmark,dk,TRUE,2013,TRUE,2014,TRUE,FALSE,0.89,0.87,0.88,0.87,0.88,0.87,1,0.96,0.99,1,0,1,0,0,0.9745,0,,0.89,0.87,2.54,0.96,0.99,0.93,0.89,0.87,2.54,0.97,0.99,0.93,0.88,0.87,2.54,0.96,0.99,0.92,1,0.51,0.24,0.06,0.02,0.02,0.14,0.64,0.08,0.02,0.1,0.11,0.66,0.86,0.7,0.75,0.65,0.25,0.18,0.02,0.95,Protestant,0,0.8,0.17,0.06,0.8,0.06,0.76,0,1,0,Thorning-Schmidt I,Rasmussen L III,Frederiksen I,0.98,1,-0.01,0,0,0,0.97,1,0.88,0.06,0.87,0.1,0.95,0,1
Estonia,ee,TRUE,2014,TRUE,2017,FALSE,FALSE,0.82,0.77,0.83,0.8,0.84,0.79,0.996,0.95,0.88,1,0,1,0.66,0,0.915,0,,0.82,0.77,2.37,0.93,0.81,0.93,0.85,0.81,2.37,0.95,0.82,0.92,0.83,0.8,2.37,0.95,0.88,0.93,0.996,0.31,0.26,0.04,0.4,0.1,0.61,0.25,0.38,0.09,0.25,0.28,0.55,0.55,0.3,0.42,0.2,0.11,0.18,0.04,0.83,Do not belong to a denomination,0,0.79,0.79,0.58,0.15,0.23,0.27,1,0,0,Ansip IV,Ratas I,Ratas II,0.89,1,0.01,0,0.66,0,0.92,1,0.83,0.23,0.8,0.25,0.83,0.03,0.996
Finland,fi,TRUE,2011,TRUE,2015,TRUE,FALSE,0.86,0.83,0.84,0.8,0.83,0.78,1,0.95,0.97,1,0,1,0,0,0.9585,0,,0.86,0.83,2.15,0.95,0.97,0.92,0.83,0.81,2.15,0.95,0.96,0.92,0.84,0.8,2.15,0.95,0.97,0.93,1,0.46,0.35,0.07,0.12,0.04,0.26,0.53,0.1,0.02,0.14,0.11,0.49,0.87,0.73,0.64,0.3,0.15,0.27,0.01,0.93,Protestant,0,0.73,0.25,0.18,0.6,0.13,0.52,0,1,0,Katainen I,Sipilae I/II,Marin I,0.95,1,-0.02,0,0,0,0.96,1,0.84,0.13,0.8,0.14,0.93,-0.03,1
France,fr,TRUE,2011,TRUE,2014,TRUE,FALSE,0.82,0.81,0.8,0.77,0.8,0.77,0.999,0.93,0.88,1,0,0.66,0,0,0.9075,0,,0.82,0.81,2.68,0.95,0.93,0.92,0.82,0.8,2.68,0.95,0.9,0.93,0.8,0.77,2.68,0.93,0.88,0.93,0.999,0.42,0.36,0.08,0.07,0.11,0.15,0.7,0.12,0.05,0.3,0.09,0.43,0.89,0.63,0.75,0.37,0.22,0.14,0.1,0.75,Do not belong to a denomination,0,0.57,0.57,0.17,0.53,0.15,0.54,0,0,0,Ayrault II,Philippe I,Philippe II,0.93,1,-0.02,0,0,0,0.91,0.66,0.8,0.15,0.77,0.3,0.75,-0.05,0.999
Georgia,ge,TRUE,2014,TRUE,2017,TRUE,FALSE,0.48,0.49,0.51,0.52,0.49,0.5,0.97,0.89,0.81,1,1,0,1,0,0.8515,0,,0.48,0.49,1.81,0.82,0.76,0.85,0.55,0.58,2.27,0.87,0.84,0.92,0.51,0.52,2.44,0.89,0.81,0.93,0.97,0.45,0.94,0.5,0.59,0.5,0.9,0.04,0.56,0.17,0.8,0.51,0.38,0.5,0.29,0.35,0.2,0.11,0.33,0.1,0.73,Orthodox (Russian/Greek/etc.),1,0.83,0.06,0.92,0.01,0.8,0.02,0,0,0,Margvelashvili,Margvelashvili,Ivanishvili,0.86,1,0.03,0,1,1,0.85,0,0.51,0.8,0.52,0.8,0.73,0.03,0.97
Germany,de,TRUE,2011,TRUE,2018,TRUE,FALSE,0.86,0.84,0.83,0.81,0.82,0.8,0.997,0.96,0.98,1,0,1,0,0.45,0.9685,0,,0.86,0.84,2.28,0.96,0.98,0.9,0.84,0.83,2.28,0.96,0.98,0.9,0.83,0.81,2.28,0.96,0.98,0.9,0.997,0.69,0.37,0.1,0.07,0.07,0.21,0.67,0.09,0.04,0.31,0.1,0.79,0.88,0.55,0.75,0.32,0.22,0.07,0.02,0.94,Do not belong to a denomination,0,0.37,0.37,0.13,0.67,0.24,0.35,0,0,0,Merkel III,Merkel IV,Merkel V,0.97,1,-0.03,0.45,0,0,0.97,1,0.83,0.24,0.81,0.31,0.94,-0.03,0.997
Greece,gr,TRUE,2011,TRUE,2018,TRUE,FALSE,0.82,0.8,0.74,0.72,0.67,0.67,0.976,0.94,0.89,1,1,0.33,0.66,0,0.914,0,,0.82,0.8,2.46,0.94,0.89,0.92,0.78,0.78,2.46,0.94,0.89,0.92,0.74,0.72,2.46,0.94,0.89,0.92,0.976,0.36,0.81,0.32,0.34,0.37,0.72,0.09,0.26,0.08,0.4,0.24,0.31,0.6,0.5,0.64,0.59,0.18,0.17,0.01,0.94,Orthodox (Russian/Greek/etc.),1,0.92,0.04,0.38,0.23,0.39,0.19,0,0,1,Samaras II,Tsipras II,Mitsotakis,0.92,1,-0.07,0,0.66,1,0.91,0.33,0.74,0.39,0.72,0.4,0.94,-0.08,0.976
Hungary,hu,TRUE,2014,FALSE,,FALSE,FALSE,0.58,0.56,0.37,0.34,0.36,0.34,0.837,0.86,0.61,0.25,0,0.33,0.66,1,0.7345,0,,0.58,0.56,2.4,0.86,0.66,0.86,0.45,0.43,2.4,0.86,0.63,0.85,0.37,0.34,2.4,0.86,0.61,0.86,0.837,0.31,0.46,0.14,0.36,0.21,0.46,0.26,0.33,0.11,0.46,0.27,0.46,0.41,0.19,0.29,0.13,0.12,0.29,0.05,0.8,Do not belong to a denomination,0,0.54,0.54,0.55,0.2,0.33,0.24,1,1,1,Orban II,Orban III,Orban IV,0.75,0.25,-0.22,1,0.66,0,0.73,0.33,0.37,0.33,0.34,0.46,0.8,-0.22,0.837
Iceland,is,TRUE,2011,TRUE,2018,FALSE,FALSE,0.79,0.8,0.79,0.75,0.75,0.74,0.998,0.92,0.97,1,0,1,0,0,0.9425,0,,0.79,0.8,1.93,0.93,0.96,0.85,0.8,0.8,1.93,0.93,0.96,0.85,0.79,0.75,1.93,0.92,0.97,0.86,0.998,0.54,0.4,0.05,0.02,0.02,0.06,0.84,0.05,0.01,0.21,0.04,0.61,0.93,0.89,0.86,0.38,0.24,0.18,0.01,0.97,Protestant,0,0.69,0.21,0.04,0.85,0.09,0.54,1,0,0,Gunnlaugson,Jakobsdottir,Jakobsdottir,0.95,1,0,0,0,0,0.94,1,0.79,0.09,0.75,0.21,0.97,-0.05,0.998
